ARRIVAL_DELAY,DEPARTURE_DELAY,AIRLINE
3.4513721447256764,8.900856346719806,American Airlines Inc.
-0.9765630924118783,1.7858007096736666,Alaska Airlines Inc.
6.677860800940307,11.5143526744102,JetBlue Airways
0.18675361236390797,7.36925417661782,Delta Air Lines Inc.
6.585378691739733,8.71593449776958,Atlantic Southeast Airlines
12.504706404706404,13.350858345331709,Frontier Airlines Inc.
2.023092805197196,0.48571315965790407,Hawaiian Airlines Inc.
6.457873460764516,10.125188203309524,American Eagle Airlines Inc.
14.471799501705833,15.944765880783688,Spirit Air Lines
5.845652151300072,7.801103808415331,Skywest Airlines Inc.
5.431593935741549,14.435441010805953,United Air Lines Inc.
3.7062088424131026,6.141136917746696,US Airways Inc.
4.737705721003135,9.022595096521952,Virgin America
4.3749636792570525,10.581986295158847,Southwest Airlines Co.
